区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,2室1厅,94.35,180,19078,,南北,其他,无,低楼层(共33层)2014年建板楼,,-
dongfanglanhai,【南北通透+西边户+楼层好采光足+大三室+金斗公园】,3室1厅,115.6,202,17475,,南,其他,无,中楼层(共33层),,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,3室1厅,112,195,17411,,南北,其他,无,高楼层(共33层),,-
dongfanglanhai,东方蓝海 地铁一号线、南北通透东边户、采光好,3室2厅,132.28,228,17237,,南北,毛坯,无,高楼层(共28层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,3室2厅,93.02,164,17631,,南,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,东方蓝海 毛坯 高层景观 卖家诚售 价格良心 带个车位,3室2厅,94.5,162,17143,,南,其他,无,高楼层(共33层)2016年建板楼,,-
dongfanglanhai,蓝海新出边户大两房，楼层好，采光无挡,2室2厅,95,159,16737,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,【交通便利+品质小区+繁华商圈+南北通透+带车位】,3室2厅,113,205,18142,,南北,其他,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,《为您而选，为您为家》东方蓝海三房出售！！,3室2厅,95,155,16316,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,2室2厅,83,153,18434,,南北,其他,无,中楼层(共33层),,-
dongfanglanhai,双地铁口、赠送花园、采光无遮挡、金豆公园,3室2厅,93.02,163,17524,,南,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，双地铁沿线，交通便利，繁华商圈,2室2厅,81.4,143,17568,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,东方蓝海三期 3室2厅 153万,3室2厅,94.7,153,16157,,南北,其他,无,低楼层(共33层),,-
dongfanglanhai,东方蓝海四房 毛坯小三房 送车位,3室2厅,94.2,168,17835,,南,其他,无,中楼层(共33层)2016年建板楼,,-
dongfanglanhai,东方南海，小区前排，无遮挡采光好，可看金斗公园,2室2厅,91.71,155,16902,,南,其他,无,中楼层(共28层)2014年建板楼,,-
dongfanglanhai,为你而选为你为家 东方蓝海一期纯毛坯房 地铁口,2室2厅,91.88,165,17959,,南,其他,无,中楼层(共33层)2014年建板楼,,-
dongfanglanhai,东方蓝海 3室2厅 225万,3室2厅,131,225,17176,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,3室2厅,112.76,215,19068,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,【总价低+小三室+低楼层采光没问题+满2年潜力大】,3室1厅,93.78,148,15782,,南,其他,无,低楼层(共33层)2014年建板楼,,-
dongfanglanhai,东方蓝海三期 3室2厅 160万,3室2厅,105.6,160,15152,,南北,其他,无,低楼层(共33层),,-
dongfanglanhai,东方蓝海新出边户大两房，楼层好，采光无挡，精装修,2室2厅,95.88,165,17210,,南,其他,无,高楼层(共28层)2014年建板楼,,-
dongfanglanhai,双地铁口、大户型《万达茂》金斗公园,3室2厅,135.02,235,17405,,南北,其他,无,低楼层(共30层)2014年建板楼,,-
dongfanglanhai,纯毛坯，正规三房，南北通，双地铁,3室2厅,97.73,170,17395,,南北,毛坯,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,公园口，好房诚心出售，真实在售。,3室2厅,132,269,20379,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，双地铁沿线，交通便利，繁华商圈,2室2厅,94.59,180,19030,,南北,精装,无,中楼层(共33层)2014年建板楼,,-
dongfanglanhai,东方蓝海 经典边户 交通方便 业主诚意出售！,2室2厅,92.28,160,17339,,南北,其他,无,低楼层(共30层)2014年建板楼,,-
dongfanglanhai,万达茂，银泰旁，一号线边上，还带个车位，三开间朝南,3室2厅,94.27,165,17503,,南,其他,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,滨湖东方蓝海 四室二厅一厨三卫 好位置 视野环境优,4室2厅,193.33,360,18622,,南,其他,无,低楼层(共30层)2014年建板楼,,-
dongfanglanhai,东方蓝海 经典大三房 户型好 西边套,3室2厅,135,229.8,17023,,南北,其他,无,低楼层(共28层)2014年建板楼,,-
dongfanglanhai,东方蓝海 2房2厅1厨1卫  双阳台,2室2厅,94.5,155,16403,,南北,毛坯,无,低楼层(共30层)2014年建板楼,,-
dongfanglanhai,双地铁口，银泰城、万达茂环 绕。环湖CBD板块。,3室2厅,92.88,168,18088,,南,其他,无,高楼层(共33层)2014年建板楼,,-
dongfanglanhai,地铁房，配套成熟，潜力大，交通便捷,3室2厅,94,170,18086,,南,毛坯,无,低楼层(共28层)2014年建板楼,,-
dongfanglanhai,《为您而选》东方蓝海边套大三居 采光好！！！,3室2厅,117,215,18377,,南北,其他,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,滨湖东方蓝海 四室二厅一厨三卫 好位置 视野环境优,4室2厅,197.45,350,17727,,南,其他,无,中楼层(共28层)2014年建板楼,,-
dongfanglanhai,蓝海新出边户大两房，楼层好，采光无挡,2室2厅,95,165,17369,,南北,其他,无,中楼层(共33层)2014年建板楼,,-
dongfanglanhai,东方蓝海 户型方正 两房朝南厅朝南  近万达,2室2厅,90.87,155,17058,,南,其他,无,低楼层(共28层)2014年建板楼,,-
dongfanglanhai,东方蓝海，双地铁口，中上楼层，空置房变现！,3室2厅,94.5,160,16932,,南,其他,无,高楼层(共33层),,-
dongfanglanhai,精装30万未入住，赠于有缘人，你在哪,3室2厅,132.28,270,20412,,南,精装,无,高楼层(共28层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，边户三房，交通便利，繁华商圈！！,3室2厅,97.73,175,17907,,南北,其他,无,中楼层(共33层)2016年建板楼,,-
dongfanglanhai,东方蓝海 经典两房 交通方便业主诚意出售！,2室2厅,89.42,158,17670,,南,其他,无,低楼层(共30层)2014年建板楼,,-
dongfanglanhai,东方蓝海 2室2厅 160万,2室2厅,92.28,160,17339,,南,其他,无,低楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,4室2厅,123,230,18700,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海  101平方边户南北通透，好房急售,3室2厅,101,180,17822,,南北,其他,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,东方蓝海 毛坯 无尾款 卖家诚售 价格良心,3室2厅,94,170,18086,,南,毛坯,无,中楼层(共33层)2016年建板楼,,-
dongfanglanhai,《为您而选，为您为家》东方蓝海 精品两房,2室2厅,98,155,15817,,南北,其他,无,低楼层(共30层),,-
dongfanglanhai,此房为南北通透，格局正气，看房方便，诚心出售,3室2厅,98,157,16021,,南,其他,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,东方蓝海二期 纯毛坯大四房 双阳台 送车位 采光无遮挡,4室2厅,144,265,18403,,南北,其他,无,中楼层(共33层),,-
dongfanglanhai,《为您为家》东方南海毛坯房 业主诚心卖 采光好！,2室2厅,80.84,135,16700,,南,毛坯,无,中楼层(共33层)2016年建板楼,,-
dongfanglanhai,《为您为家》东方南海精装20w全送   没有增值税！！！,3室2厅,92.88,185,19919,,南,其他,无,高楼层(共33层)2014年建板楼,,-
dongfanglanhai,东方蓝海 3室2厅 266万,3室2厅,132.5,266,20076,,南北,其他,无,高楼层(共28层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,2室2厅,94.5,191,20212,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,《为您而选》东方蓝海边户两房 采光充足 看房方便,2室2厅,94.28,175,18562,,南,其他,无,高楼层(共28层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 101平方边户南北通透，好房急售,3室2厅,101.97,195,19124,,南北,其他,无,中楼层(共31层)2016年建板楼,,-
dongfanglanhai,东方蓝海 4室2厅 285万,4室2厅,170.48,285,16718,,南,其他,无,低楼层(共28层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，繁华商圈,2室2厅,83.08,136,16370,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,东方蓝海四期 3室2厅 168万,3室2厅,95,168,17685,,南,其他,无,高楼层(共33层)2016年建板楼,,-
dongfanglanhai,为你而选为你为家 东方蓝海一期纯毛坯房 地铁口,3室2厅,101.11,190,18792,,南北,其他,无,低楼层(共33层)2016年建板楼,,-
